Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
HTTP,POST /api/v1/users,19,0,32000,32458.1939421202,26979.291677474976,38537.29271888733,201.3684210526316,0.3692659406918272,0.0,32000,35000,36000,36000,37000,39000,39000,39000,39000,39000,39000
,Aggregated,19,0,32000,32458.1939421202,26979.291677474976,38537.29271888733,201.3684210526316,0.3692659406918272,0.0,32000,35000,36000,36000,37000,39000,39000,39000,39000,39000,39000
